user_id,income,spending,assets,vehicles,lifestyle_score,tax_evasion_risk
1,442570,179001,1,2,43900.1,0
2,260674,453549,7,3,139354.9,1
3,90864,487771,3,1,86777.1,1
4,212742,45126,10,3,128512.6,0
5,366179,469131,6,1,114913.1,0
6,285244,373581,2,1,65358.1,0
7,270977,37035,2,1,31703.5,0
8,236755,381208,8,4,150120.8,1
9,354230,437841,7,2,129784.1,0
10,50011,245985,6,2,100598.5,1
11,394851,564701,9,4,178470.1,0
12,198512,340251,5,1,92025.1,1
13,444647,455348,2,3,89534.8,0
14,165324,528101,6,2,128810.1,1
15,446377,470993,4,2,103099.3,0
16,269108,156840,8,2,111684.0,0
17,463947,113124,10,3,135312.4,0
18,160647,170469,0,4,49046.9,0
19,389244,400639,9,2,146063.9,0
20,207624,37676,3,3,57767.6,0
21,72869,135308,5,3,87530.8,1
22,484105,370971,6,1,105097.1,0
23,111510,434109,6,2,119410.9,1
24,286567,327286,3,2,78728.6,0
25,50909,63858,6,0,66385.8,0
26,377705,601494,6,4,152149.4,1
27,388733,347772,7,0,104777.2,0
28,338237,190548,7,1,97054.8,0
29,413414,230471,3,2,69047.1,0
30,383647,152398,7,0,85239.8,0
31,201916,686001,9,1,166600.1,1
32,114858,584543,0,4,90454.3,1
33,452989,160082,0,4,48008.2,0
34,494748,592542,10,2,175254.2,0
35,484356,568005,5,1,114800.5,0
36,353292,535109,4,4,125510.9,1
37,480901,432936,7,4,145293.6,0
38,390481,368488,3,2,82848.8,0
39,88290,421070,7,4,144107.0,1
40,151520,290401,4,3,93040.1,1
41,469207,20887,1,3,36088.7,0
42,356825,509544,9,0,140954.4,0
43,235106,518758,8,4,163875.8,1
44,192637,416273,8,0,121627.3,1
45,473337,124015,9,4,134401.5,0
46,189689,398649,3,4,101864.9,1
47,228853,643087,2,2,100308.7,1
48,210954,554368,0,3,79436.8,1
49,405762,512727,5,3,125272.7,0
50,310748,510642,4,4,123064.2,1
51,271707,154692,4,3,79469.2,0
52,128445,480493,1,1,66049.3,1
53,473252,121492,2,4,64149.2,0
54,289645,32690,1,0,13269.0,0
55,272979,26086,3,4,64608.6,0
56,494437,117759,4,0,51775.9,0
57,446601,444562,10,4,176456.2,0
58,431841,60005,5,4,88000.5,0
59,455914,662456,9,0,156245.6,0
60,153228,633715,3,3,117371.5,1
61,263997,153793,1,4,57379.3,0
62,135724,203476,1,3,54347.6,0
63,55397,186294,0,4,50629.4,1
64,170640,88342,2,0,28834.2,0
65,390976,317882,6,0,91788.2,0
66,245659,362443,7,1,114244.3,0
67,181150,694711,5,2,135471.1,1
68,138939,250792,5,0,75079.2,1
69,355593,180569,9,3,132056.9,0
70,52919,555753,5,0,105575.3,1
71,77368,616735,8,3,165673.5,1
72,232727,504373,4,4,122437.3,1
73,487927,579893,4,2,113989.3,0
74,448359,365595,5,4,118559.5,0
75,322129,558685,10,1,163868.5,1
76,463016,549082,3,3,108908.2,0
77,383093,26845,7,1,80684.5,0
78,147458,24284,9,0,92428.4,0
79,80346,46024,5,3,78602.4,0
80,230777,40531,3,2,50053.1,0
81,261347,300501,4,2,86050.1,0
82,292439,587361,1,3,92736.1,1
83,414093,541753,0,3,78175.3,0
84,489247,53511,0,4,37351.1,0
85,352099,487258,2,1,76725.8,0
86,50085,30534,5,1,61053.4,0
87,147739,526593,5,0,102659.3,1
88,238580,141299,5,2,80129.9,0
89,444438,381810,5,4,120181.0,0
90,459996,41904,5,3,78190.4,0
91,29442,156602,8,0,95660.2,1
92,339356,222687,7,1,100268.7,0
93,469789,436241,3,4,105624.1,0
94,74044,493185,8,4,161318.5,1
95,481941,652161,9,4,187216.1,0
96,84122,600996,10,0,160099.6,1
97,88321,259821,0,1,33982.1,1
98,483364,298225,3,4,91822.5,0
99,288068,521961,6,1,120196.1,1
100,242107,676078,3,4,129607.8,1
101,340879,695568,6,4,161556.8,1
102,199362,298462,7,3,123846.2,0
